system:index,AOD,AtmosphericMoisture,BulkDensity,Clay,Copper,Elevation,Iron,LST,NDVI,NDWI,NO2,Nitrogen,Rain,SAVI,SO2,Sand,Slope,SoilMoisture,Temp,date,green_fraction,month,pH,year,.geo
0_0,0.452575,9.325496087023055,1.38,20.8,0.573,878,1.04,32.30500000000001,0.2884239,-0.41509834,3.5387499230570036E-5,19.4,0.26078662276268005,0.4325058645622053,1.2693534279921664E-4,57.3,0.6677475,0.1296069,20.616934405091058,2019-01,0.46555528,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.54460727996758,13.218124680154517]}"
0_1,0.4115128205128205,9.325496087023055,1.39,22.4,0.552,886,1.1199999999999999,33.62500000000006,0.31184834,-0.3925649,3.4968084048267133E-5,17.5,0.7330179214477539,0.4677081446420459,2.666421724432118E-4,55.2,0.37735695,0.12901881,20.616934405091058,2019-01,0.50335187,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49070836292043,13.20914152731332]}"
0_2,0.4217368421052632,9.325496087023055,1.39,23.2,0.561,869,1.16,31.980000000000018,0.2956776,-0.35762528,3.7364032820157904E-5,18.8,0.26078662276268005,0.44346308351603003,1.126160259683526E-4,56.1,0.6621877,0.1296069,20.616934405091058,2019-01,0.51855874,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.52214939786461,13.200158374472124]}"
0_3,0.426675,9.325496087023055,1.4,23.8,0.557,867,1.1900000000000002,32.045000000000016,0.23819232,-0.35581237,3.702483761320681E-5,16.9,0.18426406383514404,0.3572479678557332,1.5875199955802147E-4,55.7,0.68064207,0.12826449,20.616934405091058,2019-01,0.4831573,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.50418309218219,13.195666798051526]}"
0_4,0.4164102564102564,9.325496087023055,1.39,22.8,0.5670000000000001,887,1.1400000000000001,31.965000000000032,0.23777074,-0.32700107,3.8405112154840566E-5,19.6,0.18426406383514404,0.35661760647311325,7.811479468681472E-6,56.7,0.50763994,0.12902497,20.616934405091058,2019-01,0.49507573,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53113255070576,13.195666798051526]}"
0_5,0.4164102564102564,9.325496087023055,1.39,22.3,0.573,885,1.115,31.965000000000032,0.19647998,-0.28072822,3.8405112154840566E-5,17.5,0.18426406383514404,0.29468837501956974,7.811479468681472E-6,57.3,0.36762398,0.12902497,20.616934405091058,2019-01,0.48948094,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.53562412712637,13.195666798051526]}"
0_6,0.4339166666666667,9.325496087023055,1.4,22.8,0.543,872,1.1400000000000001,31.340000000000032,0.31311753,-0.3641707,3.702483761320681E-5,17.1,0.18426406383514404,0.4696177337235124,1.5875199955802147E-4,54.3,1.0151877,0.12902497,20.616934405091058,2019-01,0.53581244,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.5086746686028,13.191175221630928]}"
0_7,0.4326842105263158,9.325496087023055,1.4,23.0,0.562,882,1.1500000000000001,31.450000000000045,0.20947996,-0.3423943,3.831440488930388E-5,17.3,0.18426406383514404,0.3141895072371847,1.246139739550669E-4,56.2,0.81368095,0.12902497,20.616934405091058,2019-01,0.47212917,0.0,6.4,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.517657821444,13.191175221630928]}"
0_8,0.4326842105263158,9.325496087023055,1.39,22.7,0.5529999999999999,886,1.135,31.450000000000045,0.25375724,-0.34470537,3.882359414866397E-5,18.1,0.18426406383514404,0.3805990994114978,1.1337136845350722E-4,55.3,0.5076275,0.12902497,20.616934405091058,2019-01,0.4946685,0.0,6.5,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.517657821444,13.186683645210337]}"
0_9,0.41243243243243244,9.325496087023055,1.39,23.3,0.539,869,1.165,31.345000000000027,0.3223202,-0.39145774,3.647031022743985E-5,17.7,1.1646654605865479,0.48341093893282344,1.8446301777332616E-4,53.9,1.0480887,0.12826449,20.616934405091058,2019-01,0.5167237,0.0,6.5,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49070836292043,13.182192068789739]}"
0_10,0.43194736842105264,9.325496087023055,1.38,23.0,0.5479999999999999,862,1.1500000000000001,30.885000000000048,0.24139099,-0.33248606,3.647031022743985E-5,18.1,1.1646654605865479,0.3620450963146573,1.8446301777332616E-4,54.8,0.78934425,0.12826449,20.616934405091058,2019-01,0.49723512,0.0,6.5,2019,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.49519993934098,13.182192068789739]}"
