model,split,site_id,target_date,actual,predicted
BiLSTM+Attention,val,77.329012_12.944139,2023-09-01,0.5240591,0.5269934
BiLSTM+Attention,val,77.329012_12.962105,2023-09-01,0.6947518,0.704559
BiLSTM+Attention,val,77.337995_12.921681,2023-09-01,0.6490093,0.6508567
BiLSTM+Attention,val,77.342486_12.926172,2023-09-01,0.6874158,0.6938772
BiLSTM+Attention,val,77.342486_12.935155,2023-09-01,0.70332056,0.72217244
BiLSTM+Attention,val,77.342486_12.944139,2023-09-01,0.69550115,0.6839104
BiLSTM+Attention,val,77.346978_12.86329,2023-09-01,0.59536886,0.5823261
BiLSTM+Attention,val,77.346978_12.962105,2023-09-01,0.5548487,0.5303105
BiLSTM+Attention,val,77.351469_12.89024,2023-09-01,0.54103,0.5624401
BiLSTM+Attention,val,77.351469_12.930664,2023-09-01,0.70720524,0.72089255
BiLSTM+Attention,val,77.351469_12.939647,2023-09-01,0.6878303,0.7019878
BiLSTM+Attention,val,77.355961_12.899223,2023-09-01,0.55589974,0.5722661
BiLSTM+Attention,val,77.355961_12.94863,2023-09-01,0.49880078,0.50260556
BiLSTM+Attention,val,77.355961_12.962105,2023-09-01,0.7282113,0.719962
BiLSTM+Attention,val,77.360453_12.867782,2023-09-01,0.48351398,0.47035134
BiLSTM+Attention,val,77.360453_12.908206,2023-09-01,0.5780343,0.5912144
BiLSTM+Attention,val,77.360453_12.926172,2023-09-01,0.70323175,0.7202529
BiLSTM+Attention,val,77.364944_12.854307,2023-09-01,0.52517873,0.50442046
BiLSTM+Attention,val,77.364944_12.962105,2023-09-01,0.5115406,0.49280542
BiLSTM+Attention,val,77.369436_12.881256,2023-09-01,0.5260661,0.50918204
BiLSTM+Attention,val,77.369436_12.89024,2023-09-01,0.52379787,0.5044718
BiLSTM+Attention,val,77.369436_12.935155,2023-09-01,0.46094313,0.46461004
BiLSTM+Attention,val,77.369436_12.998037,2023-09-01,0.49791086,0.49829847
BiLSTM+Attention,val,77.369436_13.007021,2023-09-01,0.5428762,0.5499252
BiLSTM+Attention,val,77.373927_12.912697,2023-09-01,0.60645205,0.6008235
BiLSTM+Attention,val,77.373927_12.971088,2023-09-01,0.504998,0.48584306
BiLSTM+Attention,val,77.373927_13.011512,2023-09-01,0.49291247,0.50204074
BiLSTM+Attention,val,77.373927_13.016004,2023-09-01,0.47721246,0.48692226
BiLSTM+Attention,val,77.378419_12.966596,2023-09-01,0.45706227,0.4650792
BiLSTM+Attention,val,77.382911_12.894731,2023-09-01,0.5482402,0.54904276
BiLSTM+Attention,val,77.382911_12.953122,2023-09-01,0.51680136,0.5154829
BiLSTM+Attention,val,77.382911_12.957613,2023-09-01,0.51143026,0.50877327
