site_id,sequence_start_date,anchor_date,reference_date,target_date
77.329012_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.329012_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.337995_12.921681,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.342486_12.926172,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.342486_12.935155,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.342486_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.346978_12.86329,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.346978_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.351469_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.351469_12.930664,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.351469_12.939647,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.355961_12.899223,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.355961_12.94863,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.355961_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.360453_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.360453_12.908206,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.360453_12.926172,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.364944_12.854307,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.364944_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.369436_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.369436_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.369436_12.935155,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.369436_12.998037,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.369436_13.007021,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.373927_12.912697,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.373927_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.373927_13.011512,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.373927_13.016004,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.378419_12.966596,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.382911_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.382911_12.953122,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.382911_12.957613,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.387402_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.387402_12.97558,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.387402_12.980071,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.391894_12.867782,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.391894_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.391894_12.885748,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_12.894731,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_12.908206,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_12.97558,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.396385_13.029478,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.400877_12.957613,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.400877_12.966596,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.400877_13.029478,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_12.903714,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_12.930664,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_12.998037,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_13.105835,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.405368_13.11931,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.40986_12.872273,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.40986_12.881256,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.40986_12.962105,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_12.930664,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_12.989054,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_12.993546,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_13.03397,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_13.096852,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.414352_13.11931,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_12.876765,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_12.89024,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_12.94863,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_12.971088,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_12.993546,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_13.016004,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_13.024987,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_13.029478,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.418843_13.146259,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_12.876765,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_12.921681,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_12.930664,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_13.002529,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_13.092361,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_13.141768,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.423335_13.150751,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_12.845324,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_12.858799,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_12.930664,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_12.939647,2019-01-01,2019-12-01,2020-01-01,2020-04-01
77.427826_12.944139,2019-01-01,2019-12-01,2020-01-01,2020-04-01
